iid,title,genres
2474,Exit to Eden (1994),Comedy
141,Ed Wood (1994),Comedy|Drama
956,French Kiss (1995),Comedy|Romance
1196,Forget Paris (1995),Comedy|Romance
2475,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
1531,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
1373,Hideaway (1995),Thriller
2553,Fluke (1995),Children's|Drama
2199,Farinelli: il castrato (1994),Drama|Musical
2163,Gordy (1995),Comedy
2988,Gumby: The Movie (1995),Animation|Children's
2805,"Glass Shield, The (1994)",Crime|Drama
1364,Hoop Dreams (1994),Documentary
270,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
610,Houseguest (1994),Comedy
431,Immortal Beloved (1994),Drama|Romance
2554,Heavyweights (1994),Children's|Comedy
3140,"Hunted, The (1995)",Action
1847,I.Q. (1994),Comedy|Romance
1426,Interview with the Vampire (1994),Drama|Horror
1210,Jefferson in Paris (1995),Drama
2049,"Jerky Boys, The (1994)",Comedy
620,Junior (1994),Comedy|Sci-Fi
621,Just Cause (1995),Mystery|Thriller
1545,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
2382,Kiss of Death (1995),Crime|Drama|Thriller
44,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
461,Little Women (1994),Drama
462,"Little Princess, A (1995)",Children's|Drama
3194,Ladybird Ladybird (1994),Drama
2809,"Enfer, L' (1994)",Drama
109,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
463,Legends of the Fall (1994),Drama|Romance|War|Western
2074,Major Payne (1994),Comedy
2236,Little Odessa (1994),Drama
1220,My Crazy Life (Mi vida loca) (1993),Drama
2383,Love Affair (1994),Drama|Romance
1858,Losing Isaiah (1995),Drama
2742,"Madness of King George, The (1994)",Drama
1669,Mary Shelley's Frankenstein (1994),Drama|Horror
2557,Man of the House (1995),Comedy
2480,Mixed Nuts (1994),Comedy
2115,Milk Money (1994),Comedy|Romance
1560,Miracle on 34th Street (1994),Drama
1861,Miami Rhapsody (1995),Comedy
1231,My Family (1995),Drama
1865,Murder in the First (1995),Drama|Thriller
1236,Nobody's Fool (1994),Drama
1649,Nell (1994),Drama
2816,New Jersey Drive (1995),Crime|Drama
3159,Nina Takes a Lover (1994),Comedy|Romance
493,Natural Born Killers (1994),Action|Thriller
2559,Only You (1994),Comedy|Romance
1399,Once Were Warriors (1994),Crime|Drama
500,Poison Ivy II (1995),Thriller
79,Outbreak (1995),Action|Drama|Thriller
318,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
2129,"Perez Family, The (1995)",Comedy|Romance
2560,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
209,Pulp Fiction (1994),Crime|Drama
3058,Panther (1995),Drama
2536,Pushing Hands (1992),Comedy
2130,Priest (1994),Drama
255,Quiz Show (1994),Drama
2435,Picture Bride (1995),Drama|Romance
414,Queen Margot (La Reine Margot) (1994),Drama|Romance
1664,"Quick and the Dead, The (1995)",Action|Adventure|Western
2591,Roommates (1995),Comedy|Drama
1842,Ready to Wear (Pret-A-Porter) (1994),Comedy
1682,Three Colors: Red (1994),Drama
1683,Three Colors: Blue (1993),Drama
1684,Three Colors: White (1994),Drama
2853,"Red Firecracker, Green Firecracker (1994)",Drama
3388,Rent-a-Kid (1995),Comedy
606,Stuart Saves His Family (1995),Comedy
430,"Swan Princess, The (1994)",Animation|Children's
1718,"Secret of Roan Inish, The (1994)",Drama
2143,"Specialist, The (1994)",Action
185,Stargate (1994),Action|Adventure|Sci-Fi
761,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
167,"Shawshank Redemption, The (1994)",Drama
269,Shallow Grave (1994),Thriller
3040,Suture (1993),Film-Noir|Thriller
2250,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
2392,Swimming with Sharks (1995),Comedy|Drama
2517,"Sum of Us, The (1994)",Comedy
2017,National Lampoon's Senior Trip (1995),Comedy
2440,To Live (Huozhe) (1994),Drama
449,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
2650,Tales From the Crypt Presents: Demon Knight (1995),Horror
188,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
631,Tales from the Hood (1995),Comedy|Horror
1848,Tom & Viv (1994),Drama
1553,Village of the Damned (1995),Horror|Sci-Fi
632,Tommy Boy (1995),Comedy
1744,Vanya on 42nd Street (1994),Drama
3183,"Underneath, The (1995)",Mystery|Thriller
1764,"Walking Dead, The (1995)",Drama|War
1333,What's Eating Gilbert Grape (1993),Drama
1556,Virtuosity (1995),Sci-Fi|Thriller
963,While You Were Sleeping (1995),Comedy|Romance
294,"War, The (1994)",Adventure|Drama
2723,Double Happiness (1994),Drama
1366,Muriel's Wedding (1994),Comedy|Romance
2315,"Baby-Sitters Club, The (1995)",Children's
646,Ace Ventura: Pet Detective (1994),Comedy
2072,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
2354,Backbeat (1993),Drama|Musical
2442,Bitter Moon (1992),Drama
784,Bullets Over Broadway (1994),Comedy
150,Clear and Present Danger (1994),Action|Adventure|Thriller
1234,"Client, The (1994)",Drama|Mystery|Thriller
1562,"Corrina, Corrina (1994)",Comedy|Drama|Romance
1648,Crooklyn (1994),Comedy
488,"Crow, The (1994)",Action|Romance|Thriller
2857,Cobb (1994),Drama
2019,"Flintstones, The (1994)",Children's|Comedy
171,Forrest Gump (1994),Comedy|Romance|War
792,Four Weddings and a Funeral (1994),Comedy|Romance
1767,Higher Learning (1995),Drama
2724,I Like It Like That (1994),Comedy|Drama|Romance
1240,I Love Trouble (1994),Action|Comedy
1242,It Could Happen to You (1994),Drama|Romance
1328,"Jungle Book, The (1994)",Adventure|Children's|Romance
2063,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
499,"Lion King, The (1994)",Animation|Children's|Musical
1566,Little Buddha (1993),Drama
2222,Wes Craven's New Nightmare (1994),Horror
502,"Mask, The (1994)",Comedy|Crime|Fantasy
83,Maverick (1994),Action|Comedy|Western
2285,Mrs. Parker and the Vicious Circle (1994),Drama
678,Naked Gun 33 1/3: The Final Insult (1994),Comedy
1250,"Paper, The (1994)",Comedy|Drama
1652,Reality Bites (1994),Comedy|Drama
2913,Red Rock West (1992),Thriller
1571,Richie Rich (1994),Children's|Comedy
1875,Safe Passage (1994),Drama
1572,"River Wild, The (1994)",Action|Thriller
509,Speed (1994),Action|Romance|Thriller
2667,Speechless (1994),Comedy|Romance
1573,Timecop (1994),Action|Sci-Fi
148,True Lies (1994),Action|Adventure|Comedy|Romance
1258,When a Man Loves a Woman (1994),Drama
1259,Wolf (1994),Drama|Horror
1577,Wyatt Earp (1994),Western
3185,Bad Company (1995),Action
2451,"Man of No Importance, A (1994)",Drama
2866,S.F.W. (1994),Drama
2601,"Low Down Dirty Shame, A (1994)",Action|Comedy
1879,Boys Life (1995),Drama
2867,"Colonel Chabert, Le (1994)",Drama|Romance|War
2243,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
2990,Jason's Lyric (1994),Crime|Drama
3186,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
2602,Street Fighter (1994),Action
3306,Coldblooded (1995),Action
2926,"Fear, The (1995)",Horror
3413,Brother Minister: The Assassination of Malcolm X (1994),Documentary
459,Highlander III: The Sorcerer (1994),Action|Sci-Fi
2202,In the Mouth of Madness (1995),Horror|Thriller
1554,8 Seconds (1994),Drama
2018,Above the Rim (1994),Drama
1227,Addams Family Values (1993),Comedy
3342,You So Crazy (1994),Comedy
473,"Age of Innocence, The (1993)",Drama
1857,Airheads (1994),Comedy
2080,"Air Up There, The (1994)",Comedy
2203,Another Stakeout (1993),Comedy|Thriller
2556,Bad Girls (1994),Western
2061,Barcelona (1994),Comedy|Romance
1229,Being Human (1993),Drama
1559,"Beverly Hillbillies, The (1993)",Comedy
1766,Beverly Hills Cop III (1994),Action|Comedy
204,Black Beauty (1994),Adventure|Children's
2624,Blink (1994),Thriller
1561,Blown Away (1994),Action|Thriller
3057,Blue Chips (1994),Drama
2814,Blue Sky (1994),Drama|Romance
1563,Body Snatchers (1993),Horror|Sci-Fi|Thriller
1866,Boxing Helena (1993),Mystery|Romance|Thriller
307,"Bronx Tale, A (1993)",Drama
656,Cabin Boy (1994),Comedy
2484,Calendar Girl (1993),Drama
795,Carlito's Way (1993),Crime|Drama
1565,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
2657,Clean Slate (1994),Comedy
72,Cliffhanger (1993),Action|Adventure|Crime
796,Coneheads (1993),Comedy|Sci-Fi
2205,Color of Night (1994),Drama|Thriller
1245,Cops and Robbersons (1994),Comedy
1703,"Cowboy Way, The (1994)",Action|Comedy
908,Dave (1993),Comedy|Romance
975,Dazed and Confused (1993),Comedy
107,Demolition Man (1993),Action|Sci-Fi
2706,"Endless Summer 2, The (1994)",Documentary
2103,Even Cowgirls Get the Blues (1993),Comedy|Romance
1251,Fatal Instinct (1993),Comedy
325,Farewell My Concubine (1993),Drama|Romance
3161,"Favor, The (1994)",Comedy|Romance
1687,Fearless (1993),Drama
2024,Fear of a Black Hat (1993),Comedy
1256,With Honors (1994),Comedy|Drama
1257,Flesh and Bone (1993),Drama|Mystery|Romance
3105,Widows' Peak (1994),Drama
2625,For Love or Money (1993),Comedy
336,"Firm, The (1993)",Drama|Thriller
980,Free Willy (1993),Adventure|Children's|Drama
2131,Fresh (1994),Drama
151,"Fugitive, The (1993)",Action|Thriller
3081,Geronimo: An American Legend (1993),Drama|Western
154,"Getaway, The (1994)",Action
1581,Getting Even with Dad (1994),Comedy
2819,Go Fish (1994),Drama|Romance
2565,"Good Man in Africa, A (1994)",Action|Adventure
1887,Guilty as Sin (1993),Crime|Drama|Thriller
1675,Hard Target (1993),Action|Adventure|Crime|Thriller
1265,Heaven & Earth (1993),Action|Drama|War
527,Hot Shots! Part Deux (1993),Action|Comedy|War
3266,Live Nude Girls (1995),Comedy
1582,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
2627,"House of the Spirits, The (1993)",Drama|Romance
2659,House Party 3 (1994),Comedy
1657,"Hudsucker Proxy, The (1994)",Comedy|Romance
3060,I'll Do Anything (1994),Comedy|Drama
709,In the Army Now (1994),Comedy|War
710,In the Line of Fire (1993),Action|Thriller
542,In the Name of the Father (1993),Drama
2822,"Inkwell, The (1994)",Comedy|Drama
1370,What's Love Got to Do with It? (1993),Drama
2567,Jimmy Hollywood (1994),Comedy
2673,Judgment Night (1993),Action
113,Jurassic Park (1993),Action|Adventure|Sci-Fi
1660,Kalifornia (1993),Drama|Thriller
2132,Killing Zoe (1994),Thriller
2067,King of the Hill (1993),Drama
2299,Lassie (1994),Adventure|Children's
555,Last Action Hero (1993),Action|Comedy
1893,Life with Mikey (1993),Comedy
1386,Lightning Jack (1994),Comedy|Western
3167,M. Butterfly (1993),Drama
2496,Made in America (1993),Comedy
1612,Malice (1993),Thriller
1592,"Man Without a Face, The (1993)",Drama
1661,Manhattan Murder Mystery (1993),Comedy|Mystery
566,Menace II Society (1993),Action|Crime|Drama
860,Executive Decision (1996),Action|Thriller
2823,In the Realm of the Senses (Ai no corrida) (1976),Drama
379,What Happened Was... (1994),Comedy|Drama|Romance
1002,Much Ado About Nothing (1993),Comedy|Romance
161,Mr. Jones (1993),Drama|Romance
2628,Mr. Wonderful (1993),Comedy|Romance
666,Mrs. Doubtfire (1993),Comedy
2446,Naked (1993),Drama
1564,"Next Karate Kid, The (1994)",Action|Children's
317,"New Age, The (1994)",Drama
2099,No Escape (1994),Action|Sci-Fi
2595,North (1994),Comedy
2447,Orlando (1993),Drama
1868,"Perfect World, A (1993)",Action|Drama
1243,Philadelphia (1993),Drama
1244,"Piano, The (1993)",Drama|Romance
2860,Poetic Justice (1993),Drama
2023,"Program, The (1993)",Action|Drama
1432,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi
2597,Radioland Murders (1994),Comedy|Mystery|Romance
1705,"Ref, The (1994)",Comedy
106,"Remains of the Day, The (1993)",Drama
1874,Renaissance Man (1994),Comedy|Drama|War
212,Rising Sun (1993),Action|Drama|Mystery
2666,"Road to Wellville, The (1994)",Comedy
1570,Robocop 3 (1993),Sci-Fi|Thriller
1576,Robin Hood: Men in Tights (1993),Comedy
803,Romeo Is Bleeding (1993),Crime|Thriller
1052,Romper Stomper (1992),Action|Drama
2864,Ruby in Paradise (1993),Drama
1040,Rudy (1993),Drama
2599,"Saint of Fort Washington, The (1993)",Drama
2865,"Savage Nights (Nuits fauves, Les) (1992)",Drama
23,Schindler's List (1993),Drama|War
2026,"Scout, The (1994)",Drama
337,Searching for Bobby Fischer (1993),Drama
49,"Secret Garden, The (1993)",Children's|Drama
525,Serial Mom (1994),Comedy|Crime|Horror
1580,"Shadow, The (1994)",Action
1334,Shadowlands (1993),Drama|Romance
1885,Short Cuts (1993),Drama
1886,"Simple Twist of Fate, A (1994)",Drama
2259,Sirens (1994),Comedy|Drama
1368,Six Degrees of Separation (1993),Drama
985,Sleepless in Seattle (1993),Comedy|Romance
1892,Sliver (1993),Thriller
358,Blade Runner (1982),Film-Noir|Sci-Fi
707,Son in Law (1993),Comedy
708,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
2367,Striking Distance (1993),Action
539,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi
1769,Surviving the Game (1994),Action|Adventure|Thriller
1585,Terminal Velocity (1994),Action
1917,Thirty-Two Short Films About Glenn Gould (1993),Documentary
996,Threesome (1994),Comedy|Romance
550,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
231,"Three Musketeers, The (1993)",Action|Adventure|Comedy
1335,Tombstone (1993),Western
2637,Trial by Jury (1994),Thriller
551,True Romance (1993),Action|Crime|Romance
819,"War Room, The (1993)",Documentary
3386,Mamma Roma (1962),Drama
1590,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy
3281,"Beans of Egypt, Maine, The (1994)",Drama
3189,Killer (Bulletproof Heart) (1994),Thriller
1725,Welcome to the Dollhouse (1995),Comedy|Drama
3219,Germinal (1993),Drama
2529,Chasers (1994),Comedy
3190,Cronos (1992),Horror
3424,Naked in New York (1994),Comedy|Romance
2873,Kika (1993),Drama
2739,Bhaji on the Beach (1993),Comedy|Drama
2032,Little Big League (1994),Children's|Comedy
2533,"Slingshot, The (Kådisbellan ) (1993)",Comedy|Drama
1676,"Wedding Gift, The (1994)",Drama
3333,Foreign Student (1994),Drama
3083,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
2697,Spanking the Monkey (1994),Comedy|Drama
1451,"Little Rascals, The (1994)",Children's|Comedy
1452,Andre (1994),Adventure|Children's
3428,"Hour of the Pig, The (1993)",Drama|Mystery
1727,Princess Caraboo (1994),Drama
1405,"Celluloid Closet, The (1995)",Documentary
3264,Metisse (Café au Lait) (1993),Comedy
2780,Dear Diary (Caro Diario) (1994),Comedy|Drama
583,"Brady Bunch Movie, The (1995)",Comedy
398,Home Alone (1990),Children's|Comedy
584,Ghost (1990),Comedy|Romance|Thriller
33,Aladdin (1992),Animation|Children's|Comedy|Musical
97,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
123,Dances with Wolves (1990),Adventure|Drama|Western
183,Batman (1989),Action|Adventure|Crime|Drama
128,"Silence of the Lambs, The (1991)",Drama|Thriller
8,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
10,Beauty and the Beast (1991),Animation|Children's|Musical
409,Pinocchio (1940),Animation|Children's
955,Pretty Woman (1990),Comedy|Romance
3276,Window to Paris (1994),Comedy
1996,"Wild Bunch, The (1969)",Western
2707,Love and a .45 (1994),Thriller
1749,"Great Day in Harlem, A (1994)",Documentary
2564,"Bye Bye, Love (1995)",Comedy
984,One Fine Day (1996),Drama|Romance
2887,Candyman: Farewell to the Flesh (1995),Horror
51,Fargo (1996),Crime|Drama|Thriller
1330,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children's
357,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
1374,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
2566,"Pallbearer, The (1996)",Comedy
2206,Jane Eyre (1996),Drama|Romance
2416,Loaded (1994),Drama|Thriller
2680,Bread and Chocolate (Pane e cioccolata) (1973),Drama
538,"Aristocats, The (1970)",Animation|Children's
2821,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Drama
2888,Two Much (1996),Comedy|Romance
2660,Ed (1996),Comedy
2417,My Favorite Season (1993),Drama
2050,"Thin Line Between Love and Hate, A (1996)",Comedy
2385,"Last Supper, The (1995)",Drama|Thriller
371,Primal Fear (1996),Drama|Thriller
1282,Carried Away (1996),Drama|Romance
2251,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical
3217,Land and Freedom (Tierra y libertad) (1995),War
3022,Denise Calls Up (1995),Comedy
2568,Theodore Rex (1995),Comedy
1897,"Family Thing, A (1996)",Comedy|Drama
2569,Sgt. Bilko (1996),Comedy
2689,Girl 6 (1996),Comedy
1290,Diabolique (1996),Drama|Thriller
3206,Peanuts - Die Bank zahlt alles (1996),Comedy
2973,Nelly & Monsieur Arnaud (1995),Drama
56,Courage Under Fire (1996),Drama|War
58,Mission: Impossible (1996),Action|Adventure|Mystery
2824,Cold Fever (Á köldum klaka) (1994),Comedy|Drama
1615,Moll Flanders (1996),Drama
396,Dragonheart (1996),Action|Adventure|Fantasy
2572,Eddie (1996),Comedy
739,Purple Noon (1960),Crime|Thriller
1,James and the Giant Peach (1996),Animation|Children's|Musical
2207,Fear (1996),Thriller
591,Kids in the Hall: Brain Candy (1996),Comedy
1073,Faithful (1996),Comedy
2239,Underground (1995),War
2365,Bloodsport 2 (1995),Action
2053,Pather Panchali (1955),Drama
2974,Aparajito (1956),Drama
2054,"World of Apu, The (Apur Sansar) (1959)",Drama
601,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
2826,Tarantella (1995),Drama
1461,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy
757,Barbarella (1968),Adventure|Sci-Fi
